company,job_url,location,page_index,posted,salary,search_query,source_url,title
ONE TECH STOP PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-scientist-intern-one-tech-stop-eda9acaea0740668b669842ab0e9bdd8?source=MCF&event=Search,Central,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,Data Scientist Intern (DA Team)
JOBSTER PRIVATE LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/senior-data-scientist-jobster-990912af5c4cab0b1870e3c271e9d022?source=MCF&event=Search,Islandwide,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,Senior Data Scientist
WEBSPARKS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/senior-data-scientist-1-year-contract-websparks-59d77ca98eca87ab708a4c97d9f5d26d?source=MCF&event=Search,Islandwide,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,Senior Data Scientist [1-year Contract]
MICRON SEMICONDUCTOR ASIA OPERATIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/smai-senior-data-scientist-micron-semiconductor-asia-operations-4be1bab3bfe87948f04065cc2cac657a?source=MCF&event=Search,North,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,SMAI Senior Data Scientist
GOVERNMENT TECHNOLOGY AGENCY,https://www.mycareersfuture.gov.sg/job/information-technology/data-scientist-ai-prac-government-technology-agency-9950a40fe79f1820e858f73f32784018?source=MCF&event=Search,South,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,"Data Scientist, AI Prac (Forward Deployed Team)"
A*STAR RESEARCH ENTITIES,https://www.mycareersfuture.gov.sg/job/sciences/principal-scientist-i-digital-chemistry-isce2-astar-research-entities-33777ee000c9df352fb67c4987b86f73?source=MCF&event=Search,Islandwide,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,"Principal Scientist I, Digital Chemistry, ISCE2"
A*STAR RESEARCH ENTITIES,https://www.mycareersfuture.gov.sg/job/sciences/principal-scientist-i-digital-chemistry-isce2-astar-research-entities-cff9d11f0f41bc68d259c5ad8d72edb5?source=MCF&event=Search,Islandwide,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,"Principal Scientist I, Digital Chemistry, ISCE2"
NSEARCH GLOBAL PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-scientist-nsearch-global-363d55da1c98780d8232065ad710d1c2?source=MCF&event=Search,Islandwide,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,Data Scientist
BDP GLOBAL SERVICES PTE. LTD.,https://www.mycareersfuture.gov.sg/job/others/data-scientist-bdp-global-services-fd8551c9d133e8a4e4964d4c3bf2ceb4?source=MCF&event=Search,South,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,Data Scientist
TEKISHUB CONSULTING SERVICES PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-scientist-tekishub-consulting-services-e48549a232d374769502c966b7201534?source=MCF&event=Search,Central,0,,,data scientist,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0,Data Scientist
